Number of pairs,3747.000000
Number of unique pairs,726
Average pair frequency,5.161157
Pair entropy,6.297801

Pair,Frequency,Proportion,Entropy Term,Mutual Information
wa uturuki,4.000000,0.001068,0.007304,6.430200
wa recep,3.000000,0.000801,0.005709,6.430200
wa tayyip,3.000000,0.000801,0.005709,6.430200
wa uingereza,4.000000,0.001068,0.007304,6.207056
ya palestina,11.000000,0.002936,0.017117,1.170482
ya hamas,3.000000,0.000801,0.005709,2.224016
ya yg,3.000000,0.000801,0.005709,1.357425
ya gak,3.000000,0.000801,0.005709,2.676001
ya orang,4.000000,0.001068,0.007304,2.640910
ya na,4.000000,0.001068,0.007304,4.303457
uturuki recep,3.000000,0.000801,0.005709,8.039638
uturuki tayyip,3.000000,0.000801,0.005709,8.039638
uturuki erdogan,3.000000,0.000801,0.005709,7.346491
na wa,4.000000,0.001068,0.007304,5.418599
kwa palestina,3.000000,0.000801,0.005709,1.679487
kwa ya,5.000000,0.001334,0.008833,4.621911
kwa na,3.000000,0.000801,0.005709,5.824064
wilayah palestina,9.000000,0.002402,0.014487,1.614949
wilayah israel,6.000000,0.001601,0.010307,2.254787
wilayah negara,3.000000,0.000801,0.005709,2.041529
wilayah tepi,3.000000,0.000801,0.005709,4.350758
politik pbb,3.000000,0.000801,0.005709,3.580457
politik negeri,3.000000,0.000801,0.005709,5.126382
global palestina,4.000000,0.001068,0.007304,2.072530
two state,24.000000,0.006405,0.032350,5.664732
two solution,19.000000,0.005071,0.026795,5.695810
solution palestina,8.000000,0.002135,0.013129,1.466394
solution israel,7.000000,0.001868,0.011737,2.378166
bendera palestina,7.000000,0.001868,0.011737,3.037611
arab palestina,3.000000,0.000801,0.005709,0.614777
arab saudi,3.000000,0.000801,0.005709,4.672342
deklarasi balfour,6.000000,0.001601,0.010307,7.192340
deklarasi mendukung,3.000000,0.000801,0.005709,4.979367
balfour mendukung,3.000000,0.000801,0.005709,5.112898
mendukung palestina,11.000000,0.002936,0.017117,1.815620
mendukung israel,5.000000,0.001334,0.008833,2.072466
mendukung state,4.000000,0.001068,0.007304,3.585290
mendukung two,3.000000,0.000801,0.005709,3.880755
mendukung solution,3.000000,0.000801,0.005709,3.562301
pendirian negara,4.000000,0.001068,0.007304,4.185509
yahudi palestina,10.000000,0.002669,0.015816,1.575127
yahudi eropa,3.000000,0.000801,0.005709,3.969188
konflik palestina,7.000000,0.001868,0.011737,1.428173
konflik israel,4.000000,0.001068,0.007304,1.913861
konflik gaza,3.000000,0.000801,0.005709,2.832888
konflik israelpalestina,7.000000,0.001868,0.011737,5.572750
pendukung palestina,5.000000,0.001334,0.008833,2.095003
militer palestina,3.000000,0.000801,0.005709,1.091701
militer israel,6.000000,0.001601,0.010307,2.830152
militer hamas,3.000000,0.000801,0.005709,3.444518
kristen palestina,5.000000,0.001334,0.008833,2.295673
otoritas palestina,20.000000,0.005338,0.027932,2.788150
otoritas abbas,3.000000,0.000801,0.005709,4.489063
otoritas mahmoud,3.000000,0.000801,0.005709,5.236277
aja palestina,7.000000,0.001868,0.011737,0.804019
aja yg,6.000000,0.001601,0.010307,2.136094
aja gak,5.000000,0.001334,0.008833,3.272349
aja paham,3.000000,0.000801,0.005709,4.707433
dukung palestina,13.000000,0.003469,0.019650,2.357367
dukung negara,4.000000,0.001068,0.007304,2.703904
dukung solusi,4.000000,0.001068,0.007304,4.319987
